Product Name,Profit
"Bevis Traditional Conference Table Top, Plinth Base",-456.7032
Chromcraft Rectangular Conference Tables,-450.243
Swingline SM12-08 MicroCut Jam Free Shredder,-447.9888
Bevis Boat-Shaped Conference Table,-445.587
Novimex Swivel Fabric Task Chair,-445.391
Okidata MB491 Multifunction Printer,-434.13
Premier Automatic Letter Opener,-427.8586
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",-418.548
Riverside Furniture Stanwyck Manor Table Series,-415.9325
GBC VeloBinder Electric Binding Machine,-411.332
"Chromcraft 48"" x 96"" Racetrack Double Pedestal Table",-404.00640000000004
Hon 2111 Invitation Series Corner Table,-401.9904
"Iceberg OfficeWorks 42"" Round Tables",-392.54799999999994
LG G2,-374.9925
Balt Split Level Computer Training Table,-357.97499999999997
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",-343.0956
Jawbone MINI JAMBOX Wireless Bluetooth Speaker,-339.7104
Fellowes Officeware Wire Shelving,-332.371
"Lesro Round Back Collection Coffee Table, End Table",-328.59
Bretford Rectangular Conference Table Tops,-327.2331
Euro Pro Shark Stick Mini Vacuum,-325.6332
"Brother MFC-9340CDW LED All-In-One Printer, Copier Scanner",-319.1916
Ibico Hi-Tech Manual Binding System,-304.99
Hon Rectangular Conference Tables,-295.815
Sauder Barrister Bookcases,-294.7672
Okidata C610n Printer,-292.04999999999995
O'Sullivan Manor Hill 2-Door Library in Brianna Oak,-285.9484
"Eldon ""L"" Workstation Diamond Chairmat",-267.4496
High Speed Automatic Electric Letter Opener,-262.00480000000005
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,-256.56359999999995
Xerox WorkCentre 6505DN Laser Multifunction Printer,-251.9958
Okidata B401 Printer,-251.9874
KI Adjustable-Height Table,-248.48219999999998
Global Low Back Tilter Chair,-246.3912
Catalog Binders with Expanding Posts,-242.20800000000003
Hon 5100 Series Wood Tables,-238.60360000000003
Office Star Flex Back Scooter Chair with White Frame,-228.61880000000002
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",-222.73649999999998
Safco Industrial Wire Shelving System,-218.352
Global Deluxe Steno Chair,-216.31380000000001
Balt Solid Wood Rectangular Table,-216.2545
LG Exalt,-212.14640000000003
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",-208.6504
Laminate Occasional Tables,-206.5342
"Premier Elliptical Ring Binder, Black",-201.51279999999997
High-Back Leather Manager's Chair,-197.5848
"Bevis Round Bullnose 29"" High Table Top",-192.18540000000002
Hon 4-Shelf Metal Bookcases,-191.86200000000002
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",-190.8522
Chromcraft Round Conference Tables,-189.9761
"Belkin 19"" Vented Equipment Shelf, Black",-179.6652
"Hon 30"" x 60"" Table with Locking Drawer",-177.3512
Honeywell Enviracaire Portable Air Cleaner for up to 8 x 10 Room,-177.22320000000002
"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",-173.12879999999998
"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",-172.9412
Epson Perfection V600 Photo Scanner,-172.4925
O'Sullivan Living Dimensions 3-Shelf Bookcases,-170.83299999999997
Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,-167.27
"Global Geo Office Task Chair, Gray",-166.00900000000001
Cisco 8961 IP Phone Charcoal,-164.9538
Bevis 44 x 96 Conference Tables,-164.72000000000003
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",-158.48579999999998
Global Deluxe High-Back Office Chair in Storm,-149.589
Hon 61000 Series Interactive Training Tables,-148.3962
"Bush Andora Conference Table, Maple/Graphite Gray Finish",-143.6232
Novimex High-Tech Fabric Mesh Task Chair,-133.4424
O'Sullivan 2-Shelf Heavy-Duty Bookcases,-133.1092
Novimex Fabric Task Chair,-131.107
Office Star - Mesh Screen back chair with Vinyl seat,-130.98
Tenex Chairmats For Use with Hard Floors,-129.92
Samsung Galaxy Note 2,-128.79719999999998
Safco Industrial Wire Shelving,-126.7068
"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",-126.44099999999996
"Sauder Mission Library with Doors, Fruitwood Finish",-125.74080000000001
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",-125.1996
Carina Media Storage Towers in Natural & Black,-121.96000000000001
Belkin F9S820V06 8 Outlet Surge,-120.17599999999999
Cisco IP Phone 7961G-GE VoIP phone,-119.119
"Bush Birmingham Collection Bookcase, Dark Cherry",-117.882
Hon 2111 Invitation Series Straight Table,-115.30739999999999
"Global Leather & Oak Executive Chair, Burgundy",-114.6764
Acco 6 Outlet Guardian Premium Plus Surge Suppressor,-113.76719999999999
"Atlantic Metals Mobile 2-Shelf Bookcases, Custom Colors",-113.2606
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,-111.328
"Carina 42""Hx23 3/4""W Media Storage Unit",-110.1328
Tennsco Industrial Shelving,-108.5802
"Barricks 18"" x 48"" Non-Folding Utility Table with Bottom Storage Shelf",-104.832
Safco Industrial Shelving,-104.1285
Sauder Camden County Collection Library,-103.482
Acco D-Ring Binder w/DublLock,-102.8378
"Bush Westfield Collection Bookcases, Dark Cherry Finish",-97.4064
Motorola HK250 Universal Bluetooth Headset,-91.5002
GBC Linen Binding Covers,-82.4068
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",-82.17599999999999
Sauder Cornerstone Collection Library,-81.16760000000001
"Global Task Chair, Black",-80.4062
O'Sullivan Living Dimensions 2-Shelf Bookcases,-78.637
Eldon Executive Woodline II Cherry Finish Desk Accessories,-78.5088
O'Sullivan Cherrywood Estates Traditional Barrister Bookcase,-78.36359999999999
"Sauder Camden County Collection Libraries, Planked Cherry Finish",-78.18639999999999
Sensible Storage WireTech Storage Systems,-78.07799999999999
Fellowes Command Center 5-outlet power strip,-78.016
Space Solutions Commercial Steel Shelving,-74.34749999999998
Hewlett-Packard Deskjet F4180 All-in-One Color Ink-jet - Printer / copier / scanner,-71.3958
Rush Hierlooms Collection Rich Wood Bookcases,-70.8312
"Sauder Forest Hills Library, Woodland Oak Finish",-70.49
Avery Recycled Flexi-View Covers for Binding Systems,-69.5702
"Carina Mini System Audio Rack, Model AR050B",-68.8076
GBC Plasticlear Binding Covers,-68.4208
"O'Sullivan Elevations Bookcase, Cherry Finish",-68.1096
"Office Impressions End Table, 20-1/2""H x 24""W x 20""D",-66.82720000000002
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",-63.587999999999994
i.Sound Portable Power - 8000 mAh,-58.8189
V7 USB Numeric Keypad,-58.7832
"Contico 72""H Heavy-Duty Storage System",-57.372
Compact Automatic Electric Letter Opener,-57.268800000000006
Bush Somerset Collection Bookcase,-56.3214
Fellowes Econo/Stor Drawers,-56.2194
OtterBox Commuter Series Case - Samsung Galaxy S4,-55.977599999999995
Cisco CP-7937G Unified IP Conference Station Phone,-55.656
"Eldon Base for stackable storage shelf, platinum",-52.569
iOttie XL Car Mount,-50.3748
Clearsounds A400,-48.8326
Hon Deluxe Fabric Upholstered Stacking Chairs,-48.796
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,-48.78
Tennsco Commercial Shelving,-48.6126
SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,-48.5826
"Belkin 19"" Center-Weighted Shelf, Gray",-47.184
"Tenex Traditional Chairmats for Hard Floors, Average Lip, 36"" x 48""",-46.403999999999996
"Iris 3-Drawer Stacking Bin, Black",-43.4512
Eldon Cleatmat Chair Mats for Medium Pile Carpets,-42.18000000000001
Office Star - Ergonomically Designed Knee Chair,-42.1096
"Tenex ""The Solids"" Textured Chair Mats",-40.57679999999999
36X48 HARDFLOOR CHAIRMAT,-40.4914
Insertable Tab Post Binder Dividers,-39.699
Bevis Round Conference Room Tables and Bases,-39.4438
Mediabridge Sport Armband iPhone 5s,-38.961
Kensington 6 Outlet SmartSocket Surge Protector,-36.882000000000005
"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand",-36.533699999999996
Hon Comfortask Task/Swivel Chairs,-36.473600000000005
Rogers Deluxe File Chest,-34.7284
Novimex Turbo Task Chair,-32.6508
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",-32.2695
Anker Astro Mini 3000mAh Ultra-Compact Portable Charger,-31.984
Samsung Convoy 3,-31.077199999999998
Macally Suction Cup Mount,-31.07
Fellowes Bankers Box Recycled Super Stor/Drawer,-30.228800000000003
"GBC Standard Recycled Report Covers, Clear Plastic Sheets",-27.1656
"Hon Metal Bookcases, Black",-26.972399999999993
"Tennsco Lockers, Gray",-26.434800000000003
"SAFCO Commercial Wire Shelving, 72h",-24.496
Anker Astro 15000mAh USB Portable Charger,-23.995199999999997
GBC VeloBinder Strips,-23.808
Avery Durable Slant Ring Binders,-23.76
Panasonic KX MC6040 Color Laser Multifunction Printer,-22.497500000000002
Stiletto Hand Letter Openers,-21.983999999999998
Plantronics Single Ear Headset,-21.945
"Global Armless Task Chair, Royal Blue",-20.733200000000004
Cyber Acoustics AC-202b Speech Recognition Stereo Headset,-20.5242
Texas Instrument TI-15 Fraction Calculator,-20.519
Space Solutions Industrial Galvanized Steel Shelving.,-20.488
3M Replacement Filter for Office Air Cleaner for 20' x 33' Room,-20.476799999999997
"Bush Westfield Collection Bookcases, Medium Cherry Finish",-20.293
Accohide Poly Flexible Ring Binders,-19.822000000000003
Wilson Jones Custom Binder Spines & Labels,-19.6928
Logitech Keyboard K120,-19.602
Large Capacity Hanging Post Binders,-19.461000000000006
GBC Wire Binding Strips,-18.409200000000002
Speck Products Candyshell Flip Case,-18.1948
Fellowes Neat Ideas Storage Cubes,-18.1888
Anderson Hickey Conga Table Tops & Accessories,-17.514499999999998
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,-17.03280000000001
"Electrix Incandescent Magnifying Lamp, Black",-16.4925
Avery Reinforcements for Hole-Punch Pages,-16.137
Avery Durable Poly Binders,-15.5946
ARKON Windshield Dashboard Air Vent Car Mount Holder,-15.594000000000001
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,-14.622499999999995
"Avery 3 1/2"" Diskette Storage Pages, 10/Pack",-14.4072
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",-13.906500000000001
Motorola L804,-13.337100000000003
XtraLife ClearVue Slant-D Ring Binders by Cardinal,-13.328
GBC ProClick Spines for 32-Hole Punch,-13.2818
Martin-Yale Premier Letter Opener,-12.879999999999999
Fellowes Bankers Box Stor/Drawer Steel Plus,-12.792000000000003
"Bush Saratoga Collection 5-Shelf Bookcase, Hanover Cherry, *Special Order",-12.6882
Cardinal Hold-It CD Pocket,-12.4488
GBC Instant Index System for Binding Systems,-12.432
O'Sullivan 5-Shelf Heavy-Duty Bookcases,-12.290999999999997
"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",-12.132900000000003
Case Logic 2.4GHz Wireless Keyboard,-11.997600000000006
iOttie HLCRIO102 Car Mount,-11.994
Gear Head AU3700S Headset,-11.9508
"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",-11.882200000000001
GBC Personal VeloBind Strips,-11.2612
Dana Swing-Arm Lamps,-11.214
Avaya 5410 Digital phone,-10.878400000000003
Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,-10.4118
"Alliance Super-Size Bands, Assorted Sizes",-10.3474
Pressboard Hanging Data Binders for Unburst Sheets,-10.135200000000001
Shocksock Galaxy S4 Armband,-10.074
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",-9.93719999999999
Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,-9.303200000000004
"GBC Velobind Prepunched Cover Sets, Regency Series",-9.24499999999999
"Wilson Jones 1"" Hanging DublLock Ring Binders",-8.5536
"Sauder Facets Collection Library, Sky Alder Finish",-8.549
Acco Side-Punched Conventional Columnar Pads,-7.8075
Eldon Shelf Savers Cubes and Bins,-7.677999999999999
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",-7.616000000000003
Safco Commercial Shelving,-7.441599999999999
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,-7.041599999999996
Avery Hidden Tab Dividers for Binding Systems,-7.032800000000001
Akro Stacking Bins,-6.9432
Plantronics MX500i Earset,-6.4425
Sterilite Show Offs Storage Containers,-6.336
Tennsco Regal Shelving Units,-6.084599999999998
Telescoping Adjustable Floor Lamp,-5.997000000000002
Acco Economy Flexible Poly Round Ring Binder,-5.742
Revere Boxed Rubber Bands by Revere,-5.707800000000001
UniKeep View Case Binders,-5.4768
"Avery Triangle Shaped Sheet Lifters, Black, 2/Pack",-4.919999999999999
Acco Suede Grain Vinyl Round Ring Binder,-4.892799999999999
"Rogers Jumbo File, Granite",-4.8888
Eldon 100 Class Desk Accessories,-4.8528
Insertable Tab Indexes For Data Binders,-4.8336
Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,-4.466
Fellowes Black Plastic Comb Bindings,-4.415600000000001
Serrated Blade or Curved Handle Hand Letter Openers,-4.1133999999999995
"Mead 1st Gear 2"" Zipper Binder, Asst. Colors",-3.891
Sterling Rubber Bands by Alliance,-3.768
Acco 6 Outlet Guardian Basic Surge Suppressor,-3.6608
Acme Rosewood Handle Letter Opener,-3.4936000000000003
Plymouth Boxed Rubber Bands by Plymouth,-3.297
Carina Double Wide Media Storage Towers in Natural & Black,-3.2392000000000003
"Fellowes Twister Kit, Gray/Clear, 3/pkg",-3.2159999999999975
GBC Standard Plastic Binding Systems Combs,-2.9205000000000014
"Stacking Tray, Side-Loading, Legal, Smoke",-2.8672
"Super Bands, 12/Pack",-2.604
Hoover Commercial Lightweight Upright Vacuum,-2.5056000000000003
"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",-2.2830000000000013
Avery Self-Adhesive Photo Pockets for Polaroid Photos,-2.1791999999999967
PNY Rapid USB Car Charger - Black,-2.0774
Kingston Digital DataTraveler 8GB USB 2.0,-2.0229999999999997
Computer Printout Index Tabs,-2.016
Storex Flexible Poly Binders with Double Pockets,-2.0064
Angle-D Ring Binders,-1.9691999999999992
Penpower WorldCard Pro Card Scanner,-1.8295
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",-1.7783999999999978
Acme Serrated Blade Letter Opener,-1.7489999999999999
SanDisk Cruzer 8 GB USB Flash Drive,-1.3584
"Executive Impressions 16-1/2"" Circular Wall Clock",-1.0687999999999995
Round Ring Binders,-0.9152000000000005
"Avery Framed View Binder, EZD Ring (Locking), Navy, 1 1/2""",-0.698599999999999
Eldon Gobal File Keepers,-0.6055999999999999
"Brites Rubber Bands, 1 1/2 oz. Box",-0.5147999999999999
Rubber Band Ball,-0.29920000000000013
"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",-0.16139999999999866
Premier Electric Letter Opener,-7.105427357601002e-15
Global Super Steno Chair,-1.7763568394002505e-15
Belkin OmniView SE Rackmount Kit,0.0
"Avery Trapezoid Extra Heavy Duty 4"" Binders",0.0
"Alliance Big Bands Rubber Bands, 12/Pack",0.0
HON 5400 Series Task Chairs for Big and Tall,5.684341886080802e-14
Bagged Rubber Bands,0.3024
Letter Slitter,0.3024
Sony 8GB Class 10 Micro SDHC R40 Memory Card,0.3399
Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,0.4439999999999999
Alliance Rubber Bands,0.5376000000000001
Nu-Dell EZ-Mount Plastic Wall Frames,0.7879999999999998
Rosewill 107 Normal Keys USB Wired Standard Keyboard,0.8087999999999997
Acco Expandable Hanging Binders,1.0208000000000004
Newell 337,1.1808
KeyTronic KT800P2 - Keyboard - Black,1.2015999999999998
"Sanitaire Vibra Groomer IR Commercial Upright Vacuum, Replacement Belts",1.3
Hoover Portapower Portable Vacuum,1.3439999999999994
"Commercial WindTunnel Clean Air Upright Vacuum, Replacement Belts, Filtration Bags",1.6338000000000008
Wilson Jones Hanging Recycled Pressboard Data Binders,1.7807999999999993
Imation Clip USB flash drive - 8 GB,1.88
"Tensor ""Hersey Kiss"" Styled Floor Lamp",2.0784000000000002
Newell 308,2.1
Kleencut Forged Office Shears by Acme United Corporation,2.2880000000000003
Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,2.2967999999999997
Design Ebony Sketching Pencil,2.3074
Self-Adhesive Ring Binder Labels,2.3584000000000005
Grip Seal Envelopes,2.3868
RCA H5401RE1 DECT 6.0 4-Line Cordless Handset With Caller ID/Call Waiting,2.3997
Woodgrain Magazine Files by Perma,2.6224
Plastic Stacking Crates & Casters,2.6784
Xerox 1989,2.6892
4009 Highlighters,2.7336
Belkin 7-Outlet SurgeMaster Home Series,2.794
Avery 5,2.8224
Newell 342,2.8536
12 Colored Short Pencils,3.016
"Avery Hi-Liter Comfort Grip Fluorescent Highlighter, Yellow Ink",3.042
Xerox 20,3.1104
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",3.141000000000002
Avery Hi-Liter Pen Style Six-Color Fluorescent Set,3.157
GBC Instant Report Kit,3.2349999999999994
Avery 484,3.3408
Stockwell Gold Paper Clips,3.404
Ibico Recycled Grain-Textured Covers,3.4540000000000006
"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",3.4759999999999995
Newell 307,3.5672
Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,3.5742
Contemporary Borderless Frame,3.6162
Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,3.6559999999999993
Eldon Jumbo ProFile Portable File Boxes Graphite/Black,3.6744
OtterBox Defender Series Case - iPhone 5c,3.6979999999999995
Maxell CD-R Discs,3.7036
Newell 323,3.7632000000000003
Pencil and Crayon Sharpener,3.7668
Cush Cases Heavy Duty Rugged Cover Case for Samsung Galaxy S5 - Purple,3.9105000000000003
Newell 313,4.264
Peel & Stick Add-On Corner Pockets,4.32
Xerox 1922,4.3326
"Cardinal HOLDit! Binder Insert Strips,Extra Strips",4.367700000000001
SANFORD Liquid Accent Tank-Style Highlighters,4.402
Boston 1900 Electric Pencil Sharpener,4.494
Maxell 4.7GB DVD+R 5/Pack,4.6035
Rogers Profile Extra Capacity Storage Tub,4.687199999999999
Contemporary Wood/Metal Frame,4.847999999999999
Newell 329,4.8544
"Dixon Ticonderoga Maple Cedar Pencil, #2",4.912000000000001
Wirebound Voice Message Log Book,4.9504
GBC Standard Plastic Binding Systems' Combs,5.023999999999999
Wilson Jones Suede Grain Vinyl Binders,5.0596000000000005
Belkin Standard 104 key USB Keyboard,5.1065000000000005
OIC Thumb-Tacks,5.1414
Sony 16GB Class 10 Micro SDHC R40 Memory Card,5.155999999999999
Xerox 1901,5.28
"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",5.3877999999999995
Kingston Digital DataTraveler 32GB USB 2.0,5.4239999999999995
Wilson Jones Four-Pocket Poly Binders,5.4282
Avery 482,5.4332
SanDisk Cruzer 4 GB USB Flash Drive,5.5165
Wilson Jones Easy Flow II Sheet Lifters,5.6160000000000005
"Universal Ultra Bright White Copier/Laser Paper, 8 1/2"" x 11"", Ream",5.6376
Xerox 1969,5.6644
"SlimView Poly Binder, 3/8""",5.697999999999999
"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",5.7456000000000005
Translucent Push Pins by OIC,5.841
Acco Perma 2700 Stacking Storage Drawers,5.948
Eldon File Chest Portable File,5.955
SpineVue Locking Slant-D Ring Binders by Cardinal,6.032400000000001
"Quartet Alpha White Chalk, 12/Pack",6.0996
Newell 339,6.116
Lunatik TT5L-002 Taktik Strike Impact Protection System for iPhone 5,6.123
Avery 502,6.1739999999999995
Belkin iPhone and iPad Lightning Cable,6.2958
Xerox 1984,6.3504
Newell 338,6.3504000000000005
"Eldon Imàge Series Desk Accessories, Clear",6.3666
"Stride Job 150 Highlighters, Chisel Tip, Assorted Colors",6.4584
Newell 322,6.6612
"Binney & Smith Crayola Metallic Crayons, 16-Color Pack",6.739999999999999
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",6.755000000000001
Tensor Brushed Steel Torchiere Floor Lamp,6.795999999999999
Avery 479,6.8382
"OIC Binder Clips, Mini, 1/4"" Capacity, Black",7.0804
"Pressboard Data Binder, Crimson, 12"" X 8 1/2""",7.1556
Color-Coded Legal Exhibit Labels,7.2177
Maxell 4.7GB DVD-R 5/Pack,7.3656
Portfile Personal File Boxes,7.434
"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",7.449999999999999
Acme Kleencut Forged Steel Scissors,7.462
Col-Erase Pencils with Erasers,7.478400000000001
Newell 310,7.48
Avery Hi-Liter Fluorescent Desk Style Markers,7.5036000000000005
Newell 340,7.5168
Colored Push Pins,7.602
DAX Wood Document Frame.,7.6888000000000005
Binder Posts,7.8064
Newell 326,7.8671999999999995
Avery 510,8.100000000000001
"OIC #2 Pencils, Medium Soft",8.1404
Newell 316,8.2152
Acco Hanging Data Binders,8.2296
"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",8.232
Unpadded Memo Slips,8.358
Newell 33,8.37
GBC Standard Therm-A-Bind Covers,8.472800000000007
Imation 30456 USB Flash Drive 8GB,8.556
Newell 344,8.5624
Loose Memo Sheets,8.5775
Newell 346,8.6112
DIXON Oriole Pencils,8.6172
"Universal Recycled Hanging Pressboard Report Binders, Letter Size",8.638000000000002
Avery 507,8.64
"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",8.669999999999998
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,8.7551
Tenex Chairmats For Use With Carpeted Floors,8.789
Imation USB 2.0 Swivel Flash Drive USB flash drive - 4 GB - Pink,8.9082
"Eldon Regeneration Recycled Desk Accessories, Smoke",8.9088
Assorted Color Push Pins,8.923300000000001
BIC Brite Liner Grip Highlighters,8.938
Self-Adhesive Address Labels for Typewriters with Dispenser Box,8.9667
Economy #2 Pencils,8.9908
Heavy-Duty E-Z-D Binders,9.055299999999997
Xerox 1985,9.072
Dixon Ticonderoga Pencils,9.267800000000001
"Eldon Spacemaker Box, Quick-Snap Lid, Clear",9.2852
Stacking Trays by OIC,9.3126
Avery Fluorescent Highlighter Four-Color Set,9.352
Newell 320,9.4588
"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",9.498999999999999
Ultra Commercial Grade Dual Valve Door Closer,9.5736
Micro Innovations Wireless Classic Keyboard with Mouse,9.5968
Acco Glide Clips,9.604
Sanford Pocket Accent Highlighters,9.632
"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",9.6496
Newell 348,9.7088
Rediform S.O.S. Phone Message Books,9.7608
Economy Binders,9.7968
Avery Binder Labels,9.8806
Newell 335,10.0224
Newell 349,10.0368
"SmartStand Mobile Device Holder, Assorted Colors",10.0656
"Eldon Expressions Wood Desk Accessories, Oak",10.110600000000002
3M Organizer Strips,10.151999999999997
"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",10.188
"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",10.1916
Jabra SPEAK 410 Multidevice Speakerphone,10.299500000000009
"""While you Were Out"" Message Book, One Form per Page",10.388
Turquoise Lead Holder with Pocket Clip,10.586
"Binney & Smith inkTank Erasable Pocket Highlighter, Chisel Tip, Yellow",10.6704
Newell 327,10.7406
Jiffy Padded Mailers with Self-Seal Closure,10.8054
Newell 330,11.1228
Acme Kleen Earth Office Shears,11.1744
Square Credit Card Reader,11.188799999999999
Avery 497,11.211200000000002
"Ampad Evidence Wirebond Steno Books, 6"" x 9""",11.2924
Colorific Watercolor Pencils,11.3004
Disposable Triple-Filter Dust Bags,11.362
Storex DuraTech Recycled Plastic Frosted Binders,11.447999999999999
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 1/Pack",11.473
Zipper Ring Binder Pockets,11.7312
Newell 32,11.9808
NETGEAR RangeMax WNR1000 Wireless Router,11.9952
Decoflex Hanging Personal Folder File,12.0276
Hon Every-Day Chair Series Swivel Task Chairs,12.097999999999999
Rediform Voice Mail Log Books,12.1584
Avery Round Ring Poly Binders,12.2972
Acme Stainless Steel Office Snips,12.431700000000001
Avery Durable Slant Ring Binders With Label Holder,12.456400000000002
Cardinal Poly Pocket Divider Pockets for Ring Binders,12.6
Blackstonian Pencils,12.6024
Xerox 1976,12.700800000000001
"Eureka Sanitaire  Multi-Pro Heavy-Duty Upright, Disposable Bags",12.7604
Wilson Jones International Size A4 Ring Binders,12.802000000000005
Belkin Grip Candy Sheer Case / Cover for iPhone 5 and 5S,12.994399999999999
"SKILCRAFT Telephone Shoulder Rest, 2"" x 6.5"" x 2.5"", Black",13.0064
Newell 311,13.039
"Eldon 300 Class Desk Accessories, Black",13.068000000000001
"Eldon Regeneration Recycled Desk Accessories, Black",13.116399999999999
Boston 16750 Black Compact Battery Pencil Sharpener,13.125
Newell 317,13.1712
